campus,method,survey_year,year,site,latitude,longitude,MPA_Name,site_designation,site_status
UCSB,SBTL_UPC,2019,2019,ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2010,2010,ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2009,2009,ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2007,2007,ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2013,2013,ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2009,2009,ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2022,2022,ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2012,2012,ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2015,2015,ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2003,2003,ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2019,2019,ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2014,2014,ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2005,2005,ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2007,2007,ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2010,2010,ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2021,2021,ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2003,2003,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
