move,logmove,Otter,Site,Sex,Ageclass,AgeSex
1.29534615,0.258777957,4,1,0,1,2
1.0066989,0.006676562,4,1,0,1,2
2.3931294,0.872601882,4,1,0,1,2
4.9508492,1.599559117,4,1,0,1,2
3.9427316,1.371873783,4,1,0,1,2
2.5883093,0.951004883,4,1,0,1,2
2.9545433,1.083344087,4,1,0,1,2
3.9891762,1.383584743,4,1,0,1,2
1.53052785,0.425612676,4,1,0,1,2
3.50522485,1.25425467,4,1,0,1,2
5.91989755,1.778319143,4,1,0,1,2
0.39324905,-0.933312153,4,1,0,1,2
1.7737074,0.573071932,4,1,0,1,2
4.38182225,1.477464677,4,1,0,1,2
3.5200478,1.258474569,4,1,0,1,2
1.0417119,0.040865418,4,1,0,1,2
7.0975256,1.959746216,4,1,0,1,2
5.9457138,1.78267059,4,1,0,1,2
1.9755891,0.680866632,4,1,0,1,2
4.51624645,1.507681217,4,1,0,1,2
0.3865,-0.950623411,4,1,0,1,2
3.401977,1.224356733,4,1,0,1,2
0.36619805,-1.004580972,4,1,0,1,2
2.3782263,0.866354958,4,1,0,1,2
8.38952255,2.126983612,4,1,0,1,2
3.53960185,1.264014249,4,1,0,1,2
1.2694612,0.238592558,4,1,0,1,2
1.5351636,0.428636955,4,1,0,1,2
2.1005688,0.742208165,4,1,0,1,2
0.34012565,-1.078440171,4,1,0,1,2
0.5744829,-0.554284947,4,1,0,1,2
4.47137075,1.497695017,4,1,0,1,2
0.5338131,-0.627709501,4,1,0,1,2
4.6486144,1.536569197,4,1,0,1,2
3.49360875,1.250935228,4,1,0,1,2
0.0321531,-3.43724641,4,1,0,1,2
3.4578052,1.240634053,4,1,0,1,2
4.99669925,1.608777544,4,1,0,1,2
4.4254233,1.487365935,5,1,0,1,2
0.4690734,-0.75699602,5,1,0,1,2
3.02274575,1.106165607,5,1,0,1,2
0.9359032,-0.066243227,5,1,0,1,2
2.4604671,0.90035121,5,1,0,1,2
0.48775935,-0.71793313,5,1,0,1,2
0.06692605,-2.704167,5,1,0,1,2
1.41702615,0.348560415,5,1,0,1,2
2.14892225,0.764966437,5,1,0,1,2
0.5206399,-0.652696647,5,1,0,1,2
0.1558441,-1.85889913,5,1,0,1,2
0.0756787,-2.581258532,5,1,0,1,2
1.03766615,0.036974105,5,1,0,1,2
0.18502745,-1.687251087,5,1,0,1,2
5.0026787,1.609973509,5,1,0,1,2
2.3294804,0.845645238,5,1,0,1,2
1.02694465,0.026588035,5,1,0,1,2
5.03714575,1.616839602,5,1,0,1,2
2.1378015,0.759777965,5,1,0,1,2
0.51110525,-0.671179741,5,1,0,1,2
0.82891255,-0.187640618,5,1,0,1,2
0.0932584,-2.372381144,5,1,0,1,2
2.58253905,0.948773043,5,1,0,1,2
0.50671465,-0.679807254,5,1,0,1,2
2.91479125,1.069798205,5,1,0,1,2
1.65703895,0.505032245,5,1,0,1,2
2.44498955,0.894040849,5,1,0,1,2
0.0685487,-2.680210837,5,1,0,1,2
0.18657985,-1.678895981,5,1,0,1,2
1.9904889,0.688380287,5,1,0,1,2
3.5214134,1.258862443,5,1,0,1,2
5.4414609,1.694047573,5,1,0,1,2
2.40693925,0.87835592,5,1,0,1,2
2.51231825,0.921205932,5,1,0,1,2
2.91275885,1.06910069,5,1,0,1,2
3.9200338,1.366100276,5,1,0,1,2
1.8255137,0.601861427,5,1,0,1,2
1.0852462,0.081806874,5,1,0,1,2
1.3293044,0.284655798,5,1,0,1,2
0.494759,-0.703684504,5,1,0,1,2
5.1552189,1.64000958,5,1,0,1,2
1.9830894,0.684655932,5,1,0,1,2
3.6024015,1.281600706,5,1,0,1,2
5.38544445,1.683699842,5,1,0,1,2
2.0173001,0.701760033,5,1,0,1,2
2.49823905,0.915586104,5,1,0,1,2
1.13820875,0.129455755,5,1,0,1,2
0.4554634,-0.786439917,5,1,0,1,2
1.0459569,0.04493216,5,1,0,1,2
3.5178412,1.257847506,5,1,0,1,2
1.9967768,0.691534281,5,1,0,1,2
6.0770589,1.804520845,5,1,0,1,2
0.9347629,-0.067462365,5,1,0,1,2
0.47776695,-0.738632218,5,1,0,1,2
1.4862333,0.396244933,5,1,0,1,2
2.55453395,0.9378698,5,1,0,1,2
1.4865355,0.396448245,5,1,0,1,2
3.04041885,1.111995286,5,1,0,1,2
3.4595051,1.241125544,5,1,0,1,2
0.05549215,-2.89151371,5,1,0,1,2
0.5281218,-0.63842834,5,1,0,1,2
2.94791675,1.081098734,5,1,0,1,2
1.90053125,0.642133452,5,1,0,1,2
0.4534281,-0.790918567,5,1,0,1,2
6.46748115,1.866786721,5,1,0,1,2
0.0986481,-2.316196307,5,1,0,1,2
1.63383045,0.490927227,5,1,0,1,2
0.18832725,-1.669574138,5,1,0,1,2
0.64359405,-0.440687109,5,1,0,1,2
0.49288725,-0.707474833,5,1,0,1,2
1.47066515,0.385714781,5,1,0,1,2
1.99105545,0.688664875,5,1,0,1,2
0.98787765,-0.012196425,5,1,0,1,2
3.65683985,1.296599345,5,1,0,1,2
1.52181215,0.419901829,5,1,0,1,2
0.0986481,-2.316196307,5,1,0,1,2
2.32081575,0.84191874,5,1,0,1,2
0.99148495,-0.00855151,5,1,0,1,2
0.0207931,-3.873134078,5,1,0,1,2
3.4206758,1.229838134,5,1,0,1,2
2.46949245,0.904012644,5,1,0,1,2
0.0107686,-4.531120787,5,1,0,1,2
1.09747415,0.093011312,5,1,0,1,2
1.3238712,0.280560172,5,1,0,1,2
1.60786815,0.474909171,5,1,0,1,2
2.0032876,0.694789631,5,1,0,1,2
0.4052816,-0.903173145,5,1,0,1,2
1.45249405,0.373282113,5,1,0,1,2
2.9578626,1.084466913,5,1,0,1,2
0.4978485,-0.697459465,5,1,0,1,2
3.1609046,1.150858252,5,1,0,1,2
1.03891595,0.038177814,5,1,0,1,2
0.9855937,-0.014511078,5,1,0,1,2
0.89220765,-0.114056382,5,1,0,1,2
0.96186215,-0.038884134,5,1,0,1,2
5.03431235,1.616276943,5,1,0,1,2
1.34962425,0.29982622,5,1,0,1,2
0.9761239,-0.024165754,5,1,0,1,2
3.5738662,1.273647979,5,1,0,1,2
4.5830369,1.522361857,5,1,0,1,2
1.54255235,0.433438415,6,1,0,0,3
0.85189325,-0.160294053,6,1,0,0,3
1.1762303,0.162314664,6,1,0,0,3
2.6422778,0.971641348,6,1,0,0,3
1.02092385,0.020707953,6,1,0,0,3
1.4937983,0.401322071,6,1,0,0,3
8.6066112,2.152530652,6,1,0,0,3
0.0475153,-3.046703515,6,1,0,0,3
7.45909935,2.009434676,6,1,0,0,3
0.8963335,-0.109442725,6,1,0,0,3
0.0218159,-3.825116217,6,1,0,0,3
0.51665935,-0.660371519,6,1,0,0,3
8.29997485,2.116252485,6,1,0,0,3
1.54728835,0.436503947,6,1,0,0,3
0.63518835,-0.45383371,6,1,0,0,3
10.52860605,2.354095938,6,1,0,0,3
1.52332565,0.420895872,6,1,0,0,3
2.05579115,0.720660762,6,1,0,0,3
1.0090281,0.00898759,6,1,0,0,3
0.38175785,-0.962968772,6,1,0,0,3
0.913045,-0.090970112,6,1,0,0,3
9.53843315,2.255329232,6,1,0,0,3
0.5030641,-0.687037682,6,1,0,0,3
1.0962778,0.091920624,6,1,0,0,3
1.9652158,0.675602061,6,1,0,0,3
8.6066112,2.152530652,6,1,0,0,3
1.3750972,0.31852442,6,1,0,0,3
12.85497215,2.553730674,6,1,0,0,3
0.1047421,-2.256254141,6,1,0,0,3
8.44824545,2.133958781,6,1,0,0,3
11.48812925,2.441314263,6,1,0,0,3
8.98196035,2.19521816,6,1,0,0,3
1.92628545,0.655593511,6,1,0,0,3
11.4635656,2.439173797,6,1,0,0,3
0.11942355,-2.125078861,6,1,0,0,3
0.0533733,-2.930444658,6,1,0,0,3
0.4648722,-0.76599275,6,1,0,0,3
1.0303545,0.029902918,6,1,0,0,3
9.5068924,2.252017051,6,1,0,0,3
0.88965715,-0.116919115,6,1,0,0,3
3.54556055,1.265696272,6,1,0,0,3
0.09183215,-2.387792825,6,1,0,0,3
0.03961995,-3.2284225,6,1,0,0,3
1.1802856,0.165756443,6,1,0,0,3
0.479123,-0.73579793,6,1,0,0,3
1.12184385,0.114973626,6,1,0,0,3
1.46807235,0.383950214,6,1,0,0,3
1.6412735,0.495472465,6,1,0,0,3
0.49154735,-0.710197006,6,1,0,0,3
